name,rating,review,date,location,sentiment
ramya suresh,"Rated 5.0 out of 5,",Menu is different when compared to regular outlets and tastes good. Staff and service is good.Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5 …More,2023-05-27,Cafe Coffee Day - The Square,Positive
Pratik Khandelwal,"Rated 1.0 out of 5,","Incompetent, useless and unprofessional staff. Took our order and after making us wait for 30 minutes came and asked us to place order again. The guy at the billing counter still had unapologetic and good for nothing attitude.Food: 1/5  |  Service: 1/5  |  Atmosphere: 3/5 …More",2023-04-27,Cafe Coffee Day - The Square,Negative
Niranjana Iyer,"Rated 1.0 out of 5,","Extremely poor and unresponsive service. Despite asking them repeatedly as why a simple order has been so delayed , they just keep 5 minutes , 5 minutes, 5 minutes. And apparently one chef was available and it was very hard to even place an order. I don't recommend.",2023-01-27,Cafe Coffee Day - The Square,Negative
Manisha Anand,"Rated 4.0 out of 5,",One of unique Ccd Outlets with great Location and Menu choices of diiferent kind of coffee n deserts,2022-08-27,Cafe Coffee Day - The Square,Positive
Balaji Rao,"Rated 5.0 out of 5,",Nice place for a relaxing break. Awesome ambiance. Courteous service and staff.,2022-06-27,Cafe Coffee Day - The Square,Positive
reo,"Rated 5.0 out of 5,",God the best burger I have had. Who knew I would get favourite burger from a coffee shop.🍔🍔Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5 …More,2023-06-27,Cafe Coffee Day - The Square,Positive
Srinivasan Natarajan,"Rated 5.0 out of 5,",The ambience and service are good. The price is too high. But business people can spend a nice time.,2023-02-27,Cafe Coffee Day - The Square,Positive
Anil Bansal,"Rated 5.0 out of 5,",Awesome place to connect with friendsFood: 5/5  |  Service: 5/5  |  Atmosphere: 5/5 …More,2023-06-27,Cafe Coffee Day - The Square,Positive
Tony Mathew Abraham,"Rated 4.0 out of 5,","A nice place to spend time with friends/family, or even alone :)Expect prices to be a bit on the higher end, but it's worth a visit.",2020-06-27,Cafe Coffee Day - The Square,Neutral
Naveen Karki,"Rated 3.0 out of 5,","Booked place for business meeting. AV connectivity, internet connectivity was poor.Airconditioner stopped working and it was really uncomfortable there.Parking space
Plenty of parkingBooked place for business meeting. AV connectivity, internet connectivity was poor. …More",2023-02-27,Cafe Coffee Day - The Square,Negative
Hari Prasad,"Rated 5.0 out of 5,","The first and the best CCD ... Quite different from the other CCD's. Ample spaces and extravagant seating. They have a mini board room as well, just in case you want to have a impropetu meeting. Best visited at dusk on a rainy day.",2022-06-27,Cafe Coffee Day - The Square,Positive
Manjunath M,"Rated 5.0 out of 5,","This outlet maintains quality and great ambience. There is ample quality seats for atleast 25 people inside, a small team area for discussions inside and 20 people decent seating arrangements outside. I went on a Sunday around 5pm and it was not crowded. I was not in a mood to eat, just enquired veggie/pastry options. Ordered Flatwhite coffees. It was smooth just like Starbucks (I like US starbucks coffee beans more :P). Pricing is a bit expensive for quiet few people but still a good occasional visit.Definetely recommend this place!...Vegetarian options: You do get veggie options. Talk to them if you want to avoid foods with egg.Parking: Getting into parking entrance is a little tricky. Google shows the entry/exit point that is usually closed for CCD parking. Also the U turn is pretty close to junction and you need to drive a bit further to take a U turn. And a huge hassle during peak hours.Food: 4/5  |  Service: 5/5  |  Atmosphere: 5/5Parking space
Plenty of parking

Parking options
Free parking lotThis outlet maintains quality and great ambience. There is ample quality seats for atleast 25 people inside, a small team area for discussions inside and 20 people decent seating arrangements outside. I went on a Sunday around 5pm and it …More",2022-11-27,Cafe Coffee Day - The Square,Positive
Nandini K,"Rated 5.0 out of 5,",This is my most special place 💝 and it all started from there ❤️ to continue forever ♾️.Their service is excellent 👌Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5This is my most special place 💝 and it all started from there ❤️ to continue forever ♾️. …More,2023-04-27,Cafe Coffee Day - The Square,Positive
Dawn Hinke,"Rated 4.0 out of 5,","The place is clean , open and a quite place to go and have a quick meeting , meet a friend or just have a cup of coffeeThe food is pretty good however it does take a bit of time.",2022-06-27,Cafe Coffee Day - The Square,Positive
Vishhnou,"Rated 5.0 out of 5,",Very nice place for hangouts and business meetings,2019-06-27,Cafe Coffee Day - The Square,Positive
Girish Joshi,"Rated 5.0 out of 5,","Good atmosphere..... To catch up with a friend or to have a simple business discussion over a coffeeFood: 5/5  |  Service: 5/5  |  Atmosphere: 5/5Parking options
Free parking lot …More",2023-04-27,Cafe Coffee Day - The Square,Positive
Bhagya Nayak,"Rated 4.0 out of 5,","Higher end place, ambience, good food, chill place. Little over priced.Food: 4/5  |  Service: 4/5  |  Atmosphere: 4/5 …More",2023-05-27,Cafe Coffee Day - The Square,Positive
Kamal P,"Rated 4.0 out of 5,","Everyone know about CCD... Go grab a coffee chillout and enjoy the moment... Awesome place, love it ❤",2023-05-27,Cafe Coffee Day - The Square,Positive
Sarath chandra Rayavarapu,"Rated 4.0 out of 5,",Coffedaysquare. A good decent place... The menu is very good and as well as service. The ambience is good but maintenance can be improved. Tried cold frappe and tiramasu. Liked it. Prices are on very higher side,2019-06-27,Cafe Coffee Day - The Square,Positive
Sanjay Gupta,"Rated 5.0 out of 5,",Excellent comfortable seating space in one of the best connected points in the city of Bengaluru. An ideal meeting place.Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5 …More,2023-01-27,Cafe Coffee Day - The Square,Positive
Moon Shine,"Rated 2.0 out of 5,","I used to visit this coffee square rarely once orbtwice  a month and the staff there r behaving like it's their home and demanding for more than one order to me as I was still till 4 pm... Evg where is the rule in CCD that u shd pay more if ur sitting for more time, they are forcing to order more it's customer choice and nobody has right to force anyone.. A customer can sit how long ever he or she wants in ccdNext time if I experience this again I will b posting with a pic everywhere in social media platforms.... Let them not take advantage of making only moneyIt's a worst experience in such a place u find all these kind of issues....I used to visit this coffee square rarely once orbtwice  a month and the staff there r behaving like it's their home and demanding for more than one order to me as I was still till 4 pm... Evg where is the rule in CCD that u shd pay more if …More",2022-12-27,Cafe Coffee Day - The Square,Neutral
Abhirami M,"Rated 5.0 out of 5,","Good place to have coffee, very good service given by premFood: 5/5  |  Service: 5/5  |  Atmosphere: 5/5Recommended dishes
Veg Nacho Cheese …More",2023-06-27,Cafe Coffee Day - The Square,Positive
Manisha Ghoshal,"Rated 4.0 out of 5,",This CCD outlet is way bigger than its other outlets and at a very prime location.  The ambience is great. Had their tropical cold coffee. It was good but too much ice. Your mouth becomes numb after a while. The snacks portion size was too less.,2022-09-27,Cafe Coffee Day - The Square,Positive
Smrithi Rego,"Rated 2.0 out of 5,","Loved their garlic bread and hot chocolate, however service was slow and the waiter was really rude to me when we tried to get few more chairs to add to our table",2022-12-27,Cafe Coffee Day - The Square,Neutral
D K,"Rated 5.0 out of 5,","As a coffee planter , and also as an coffee addict for 40 years  , coffee day is among the top 5 , when it’s comes to quality of coffee .First company to introduce top quality cup of coffee to local market .Both the quality of arabica and robusta grown under shade ,makes the regional coffee beans , best in the world .Great roasting techniques used by coffee day ,to retain the best of coffee bean .My first cup of coffee day coffee costing me 5 rupees.As a coffee planter , and also as an coffee addict for 40 years  , coffee day is among the top 5 , when it’s comes to quality of coffee .First company to introduce top quality cup of coffee to local market . …More",2022-07-27,Cafe Coffee Day - The Square,Positive
MONICA RAGHU,"Rated 5.0 out of 5,",Beautiful Place in the City Centre! Great ambiance! Good and Supportive Staff! Tasty food but cost is on the higher side!,2022-06-27,Cafe Coffee Day - The Square,Positive
Muralidhara GV,"Rated 5.0 out of 5,","Had coffee at The Square. Good ambience and good service. Enjoyed the coffee.Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5Recommended dishes
Cafe Coffee Day …More",2023-05-27,Cafe Coffee Day - The Square,Positive
Ranjeeb Sarma,"Rated 4.0 out of 5,","Slow service but good ambiance and a perfect place for meetings and workingFood: 4/5  |  Service: 2/5  |  Atmosphere: 4/5Recommended dishes
Veg Nacho Cheese, Cafe Coffee Day …More",2023-05-27,Cafe Coffee Day - The Square,Positive
Tanu Jangir,"Rated 5.0 out of 5,",Nice ambience and friendly staff. Food was delicious.,2022-06-27,Cafe Coffee Day - The Square,Positive
Shreyas Gowda,"Rated 4.0 out of 5,","Amazing place for business meeting . And to hang out with friends good food good coffee . Ambience is very good . Well maintained place .Food: 4/5  |  Service: 5/5  |  Atmosphere: 5/5Recommended dishes
Cafe Coffee Day …More",2023-01-27,Cafe Coffee Day - The Square,Positive
Pradeep Ram,"Rated 2.0 out of 5,",Good friendly service. But 321 for a super below average cappuccino... That sucks!!Food: 1/5  |  Service: 4/5  |  Atmosphere: 4/5 …More,2023-05-27,Cafe Coffee Day - The Square,Positive
Arun Mohan,"Rated 5.0 out of 5,",Absolute beauty this place. Upscale is an understatement. Great ambiance maybe the best for any ccd in India,2017-06-27,Cafe Coffee Day - The Square,Positive
